image_name,class_id,class_name
005e7881c8daf3ed9e0b97965aa54dca.jpg,0,cardboard
013c42001302df1c084ed2f72de8296d.jpg,0,cardboard
0191d20f93fff6f9910b0d162fb1a1bf.jpg,0,cardboard
045736ee2468f576d3cd9e6d2adbae12.jpg,0,cardboard
045e300bd6f513e45f4227b0fb585dcd.jpg,0,cardboard
04c99e8139d9d1f89262f00e9fb95d2e.jpg,0,cardboard
0509bf4c103abfba1196736b0cf541c0.jpg,0,cardboard
0562fc70f8934327bb1630ba291fbe7d.jpg,0,cardboard
060fc1db2697b5a9906496d7e1f1911f.jpg,0,cardboard
0792bd1e3551477b8d68f6a61cc22c15.jpg,0,cardboard
085ddfdfecd4d1abb3e1ade2b4f62057.jpg,0,cardboard
096114241b57cc7ae623d42101ddd71a.jpg,0,cardboard
098647d5f9d85187a10075dc65df9790.jpg,0,cardboard
0ac8002c23bfca5491e2e8d0ae21a7e6.jpg,0,cardboard
0b25082d2a4e84f07244bba35e3372c1.jpg,0,cardboard
0b2fbc28c32498a6256db8d9f134a003.jpg,0,cardboard
0ba95c0f4b2f2ba53896d818acbfed3e.jpg,0,cardboard
0bdf1d0efb237fb0836b6dd35f2dd9c0.jpg,0,cardboard
0c2ca568f6c622291d06bf972ec9e649.jpg,0,cardboard
0c9b3a1fb6438d2ea60837504d76eee4.jpg,0,cardboard
0cdce76f8711abcd22beb7726104546c.jpg,0,cardboard
0d050e4b25802773c5fd61a965f8e684.jpg,0,cardboard
0d0a608ec3c8c24d4f51e7a50e4c3c3e.jpg,0,cardboard
0d0b3800176d40aedd7dc3e8e3b34da4.jpg,0,cardboard
0db2e4d69f38accbda9c1775713ae3e7.jpg,0,cardboard
0de1c792747188346de7ccccfae9ce4a.jpg,0,cardboard
0eb4c1a6584f6fde84215363ebe85987.jpg,0,cardboard
0f5f694ff3cb7ddf65a3b05337f3f2f9.jpg,0,cardboard
101b6f2248ee122f3aceff4eb294317d.jpg,0,cardboard
